Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species_clean
GCF_002966955.1	Bacillus licheniformis	Complete Genome	current	4332232	1	SAMN08455836	High-salt fermented soybean	South Korea: Suwon		saline_candidate	salt	Bacillus licheniformis
GCF_014673515.1	Bacillus licheniformis	Chromosome	current	4222597	126	SAMN15866867	Crude salt from Camalti Saltern	Turkey: Izmir		saline_candidate	salt;saltern	Bacillus licheniformis
GCF_017338795.1	Bacillus licheniformis	Complete Genome	current	4316909	1	SAMN14217608	seawater	South Korea: 86, Jungnim 3-ro, Gwangdo-myeon, Tongyeong-si, Gyeongsangnam-do		saline_candidate	seawater	Bacillus licheniformis
GCF_022808645.1	Bacillus litorisediminis	Scaffold	current	4479585	131	SAMN26329877	mangrove sediments	China		saline_candidate	mangrove	Bacillus litorisediminis
GCF_022808785.1	Bacillus litorisediminis	Scaffold	current	4541765	121	SAMN26329906	mangrove sediments	China		saline_candidate	mangrove	Bacillus litorisediminis
GCF_041225435.1	Bacillus manliponensis	Complete Genome	current	4286476	1	SAMN42622381	coastal soil	South Korea: Jeju		saline_candidate	coastal	Bacillus manliponensis
GCF_002026335.1	Bacillus paralicheniformis	Scaffold	current	4028325	120	SAMN06190353	water-salt lake	Algeria: Ain Baida-Ouargla		saline_candidate	salt;salt lake	Bacillus paralicheniformis
GCF_002393225.1	Bacillus paralicheniformis	Complete Genome	current	4535069	1	SAMN07594137	Doejnang (High-salt fermented soybean)	South Korea: Suwon		saline_candidate	salt	Bacillus paralicheniformis
GCF_002993945.1	Bacillus paralicheniformis	Complete Genome	current	4464381	1	SAMN07701715	Red Sea lagoons-Mangrove mud	Saudi Arabia:Rabigh harbor lagoon		saline_candidate	mangrove	Bacillus paralicheniformis
GCF_035985545.1	Bacillus paralicheniformis	Complete Genome	current	4458487	1	SAMN39409197	Seawater sediment	China:Qingdao	missing	saline_candidate	seawater	Bacillus paralicheniformis
GCF_002077215.1	Bacillus safensis	Complete Genome	current	3740842	1	SAMN06030516	mangrove soil	Brazil: Paranagua		saline_candidate	mangrove	Bacillus safensis
GCF_030717805.1	Bacillus pumilus	Complete Genome	current	3769799	1	SAMN36823470	salt spring sediment	USA:Kentucky		saline_candidate	salt	Bacillus pumilus
GCF_041431275.1	Bacillus pumilus	Scaffold	current	3693865	24	SAMN35056143	Arctic surface microlayer seawater	Arctic Ocean:North of Greenland		saline_candidate	seawater	Bacillus pumilus
GCF_001742425.1	Bacillus solimangrovi	Scaffold	current	3844017	65	SAMN05526266		South Korea	mangrove soil	saline_candidate	mangrove	Bacillus solimangrovi
GCF_052976745.1	Bacillus safensis	Complete Genome	current	3688707	1	SAMN52032428	Deep seawater	China:Qingdao		saline_candidate	seawater	Bacillus safensis
GCF_055475255.1	Bacillus siamensis	Complete Genome	current	3856933	1	SAMN31526309	stem	China	Mangrove	saline_candidate	mangrove	Bacillus siamensis
GCF_005234095.1	Bacillus subtilis	Complete Genome	current	4063004	1	SAMN11519450	seawater	China: Shanghai, The East China Sea		saline_candidate	seawater	Bacillus subtilis
GCF_008831405.1	Bacillus subtilis	Complete Genome	current	4126713	1	SAMN12669139	Mangrove habitat samples	China: Chiu-lung River		saline_candidate	mangrove	Bacillus subtilis
GCF_024262185.1	Bacillus subtilis	Scaffold	current	4229972	11	SAMN29198484	mangrove soil	Philippines: Palawan		saline_candidate	mangrove	Bacillus subtilis
GCF_025426155.1	Bacillus subtilis	Complete Genome	current	4030869	1	SAMN30914362	marine sediments	Pacific Ocean: Western Pacific Ocean		saline_candidate	marine sediment	Bacillus subtilis
GCF_025837035.1	Bacillus subtilis	Chromosome	current	4061384	15	SAMN31159204	marine sediment	Tanzania: Bagamoyo		saline_candidate	marine sediment	Bacillus subtilis
GCF_052373815.1	Bacillus stercoris	Scaffold	current	4234980	22	SAMN50765508	digestive tract of Litopenaeus vannamei (approximately 10 g in body weight), collected from a coastal pond	Indonesia: Sumatra, Suak, Lampung	Penaeus vannamei	saline_candidate	coastal	Bacillus stercoris
GCF_050908195.1	Bacillus subtilis	Complete Genome	current	4143087	1	SAMN48800047	bottom sediment samples (0-5 cm depth) from the lower Don River	Russia:near the Southern Scientific Centre RAS coastal research base		saline_candidate	coastal	Bacillus subtilis
GCF_050908245.1	Bacillus subtilis	Complete Genome	current	4143098	1	SAMN48800046	bottom sediment samples (0-5 cm depth) from the lower Don River	Russia:near the Southern Scientific Centre RAS coastal research base		saline_candidate	coastal	Bacillus subtilis
GCF_004328925.1	Bacillus subtilis subsp. subtilis	Complete Genome	current	4216133	1	SAMN09273200	seawater samples were obtained by a Remotely Operated Vehicle (ROV) equipped on the KEXUE vessel during the cruise of April 2014; sample derived site was high hydrostatic pressure, low temperature, darkness, and close to hydrothermal vent field.	China: East China Sea	missing	saline_candidate	seawater	Bacillus subtilis
GCF_002811125.1	Bacillus vallismortis	Scaffold	current	3912114	46	SAMN07692404	saltern sediments	India: Tuticorin, Tamilnadu		saline_candidate	salt;saltern	Bacillus vallismortis
GCF_003667745.1	Bacillus velezensis	Complete Genome	current	4234898	2	SAMN10146799	Red Sea lagoons-Mangrove Mud	Saudi Arabia:Rabigh harbor lagoon		saline_candidate	mangrove	Bacillus velezensis
GCF_004378445.1	Bacillus velezensis	Scaffold	current	3986840	38	SAMN11157971	seawater	China: Haikou		saline_candidate	seawater	Bacillus velezensis
GCF_013348705.1	Bacillus velezensis	Complete Genome	current	3922134	1	SAMN15205599	Phragmites communis rhizosphere in Keke Saltworks	China:Qinghai		saline_candidate	salt	Bacillus velezensis
GCF_014842935.1	Bacillus velezensis	Scaffold	current	3932777	71	SAMN16277191	sea water	China: Xiamen		saline_candidate	sea water	Bacillus velezensis
GCF_015732475.1	Bacillus velezensis	Complete Genome	current	4178550	3	SAMN16207084	sea water	Indian Ocean		saline_candidate	sea water	Bacillus velezensis
GCF_016904925.1	Bacillus velezensis	Complete Genome	current	4131713	2	SAMN17825431	saltpan	Botswana: Makadikadi Basin		saline_candidate	salt	Bacillus velezensis
GCF_019285615.1	Bacillus velezensis	Complete Genome	current	4279775	4	SAMN20058722	mangrove sediments	China: Mangrove National Nature Reserve, Zhangjiangkou		saline_candidate	mangrove	Bacillus velezensis
GCF_020149955.1	Bacillus velezensis	Complete Genome	current	4157945	1	SAMN21448512	Doenjang, high-salt fermented soybean paste	South Korea		saline_candidate	salt	Bacillus velezensis
GCF_029691445.1	Bacillus velezensis	Complete Genome	current	3976514	1	SAMN34073820	Mangrove Sea	China:Qinzhou		saline_candidate	mangrove	Bacillus velezensis
GCF_030517005.1	Bacillus velezensis	Complete Genome	current	3929791	1	SAMN29325373		South Korea: Jeju island, Hamdeok beach	Seawater	saline_candidate	seawater	Bacillus velezensis
GCF_030517045.1	Bacillus velezensis	Complete Genome	current	3929788	1	SAMN29325374		South Korea: Jeju island, Hamdeok beach	Seawater	saline_candidate	seawater	Bacillus velezensis
GCF_045760535.1	Bacillus velezensis	Scaffold	current	3954070	13	SAMN44597093	mangrove plants	China: Zhanjiang		saline_candidate	mangrove	Bacillus velezensis
GCF_052783145.1	Bacillus velezensis	Complete Genome	current	3945352	1	SAMN51286908	salt lake	China: Shanxi, Yuncheng		saline_candidate	salt;salt lake	Bacillus velezensis
GCF_001191605.1	Bacillus altitudinis	Complete Genome	current	3681784	2	SAMN02905161	soil	China		non_saline_candidate		Bacillus altitudinis	Bacillus altitudinis
GCF_004563755.2	Bacillus altitudinis	Complete Genome	current	3867833	1	SAMN10857349	rhizosphere soil	Malaysia: Cameron Highlan	Solanum lycopersicum	non_saline_candidate		Bacillus altitudinis	Bacillus altitudinis
GCF_019880425.1	Bacillus amyloliquefaciens	Complete Genome	current	4155652	1	SAMN21001928	soil	USA:California		non_saline_candidate		Bacillus amyloliquefaciens	Bacillus amyloliquefaciens
GCF_036209985.1	Bacillus atrophaeus	Scaffold	current	4052323	32	SAMN32927378	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus atrophaeus	Bacillus atrophaeus
GCF_026793855.1	Bacillus atrophaeus	Scaffold	current	4186000	21	SAMN25999672	soil	not collected		non_saline_candidate		Bacillus atrophaeus	Bacillus atrophaeus
GCF_056493705.1	Bacillus halotolerans	Complete Genome	current	4250820	1	SAMN56707214	soil	China: Xihe	environment	non_saline_candidate		Bacillus halotolerans	Bacillus halotolerans
GCF_033568485.1	Bacillus halotolerans	Complete Genome	current	4208811	1	SAMN36977584	soil	China: Inner Mongolia		non_saline_candidate		Bacillus halotolerans	Bacillus halotolerans
GCF_040256795.1	Bacillus halotolerans	Chromosome	current	4214739	28	SAMN41599398	rhizosphere	Morocco	Olea europaea	non_saline_candidate		Bacillus halotolerans	Bacillus halotolerans
GCF_001969855.1	Bacillus haynesii	Scaffold	current	4378519	77	SAMN06102002	soil	Israel: Evolution canyon, arroyo at canyon bottom		non_saline_candidate		Bacillus haynesii	Bacillus haynesii
GCF_026793695.1	Bacillus inaquosorum	Scaffold	current	4178786	26	SAMN25999680	soil	not collected		non_saline_candidate		Bacillus inaquosorum	Bacillus inaquosorum
GCF_035809815.1	Bacillus licheniformis	Scaffold	current	4164332	17	SAMN33940564	soil	USA		non_saline_candidate		Bacillus licheniformis	Bacillus licheniformis
GCF_036210315.1	Bacillus licheniformis	Scaffold	current	4301114	45	SAMN32927362	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus licheniformis	Bacillus licheniformis
GCF_001642595.1	Bacillus licheniformis	Scaffold	current	4154962	28	SAMN04395482	soil	Czech Republic:Nerartovice		non_saline_candidate		Bacillus licheniformis	Bacillus licheniformis
GCF_056504695.1	Bacillus licheniformis	Complete Genome	current	4357622	1	SAMN56653603	Alkaline soil	China: Wuhan		non_saline_candidate		Bacillus licheniformis	Bacillus licheniformis
GCF_036210355.1	Bacillus paralicheniformis	Scaffold	current	4399718	39	SAMN32927359	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis	Bacillus paralicheniformis
GCF_036210515.1	Bacillus paralicheniformis	Scaffold	current	4392422	89	SAMN32927350	soil	Antarctica: Brown Bluff Island		non_saline_candidate		Bacillus paralicheniformis	Bacillus paralicheniformis
GCF_002068155.1	Bacillus paralicheniformis	Complete Genome	current	4352468	1	SAMN06605939	rhizosphere	China: Shandong	peony	non_saline_candidate		Bacillus paralicheniformis	Bacillus paralicheniformis
GCF_036210525.1	Bacillus paralicheniformis	Scaffold	current	4422866	93	SAMN32927349	soil	Antarctica: Paulet Island		non_saline_candidate		Bacillus paralicheniformis	Bacillus paralicheniformis
GCF_026787105.1	Bacillus safensis	Scaffold	current	3708524	180	SAMN25843196	soil	India: Orissa		non_saline_candidate		Bacillus safensis	Bacillus safensis
GCF_030292035.1	Bacillus safensis	Complete Genome	current	3677506	2	SAMN34374889	pine forrest soil between two spruce trees	Germany: near Munchenroda, Jena		non_saline_candidate		Bacillus safensis	Bacillus safensis
GCF_056781025.1	Bacillus pumilus	Complete Genome	current	3611834	1	SAMN56895992		China	soil	non_saline_candidate		Bacillus pumilus	Bacillus pumilus
GCF_026787785.1	Bacillus pumilus	Scaffold	current	3886449	21	SAMN25843162	soil	France: Col du Grand Saint Bernard		non_saline_candidate		Bacillus pumilus	Bacillus pumilus
GCF_027497645.1	Bacillus siamensis	Scaffold	current	3916442	72	SAMN23574916	soil	Guatemala: San Vicente Pacaya		non_saline_candidate		Bacillus siamensis	Bacillus siamensis
GCF_030273385.1	Bacillus subtilis	Chromosome	current	4149783	30	SAMN23670471	rice garden soil	India: Jorhat, Assam		non_saline_candidate		Bacillus subtilis	Bacillus subtilis
GCF_025460705.1	Bacillus subtilis	Scaffold	current	4152216	23	SAMN28928350	petroleum contaminated soil	China: Maoming		non_saline_candidate		Bacillus subtilis	Bacillus subtilis
GCF_013342875.1	Bacillus subtilis	Scaffold	current	4248244	24	SAMN15042623	soil	China		non_saline_candidate		Bacillus subtilis	Bacillus subtilis
GCF_018530835.1	Bacillus subtilis	Scaffold	current	4037732	11	SAMN19238141	soil	China:Beijing, Haidian District, Zhongguancunnandajie, Chinese Agricultral of Academy Sciences		non_saline_candidate		Bacillus subtilis	Bacillus subtilis
GCF_905310995.2	Bacillus subtilis	Complete Genome	current	4264553	1	SAMEA8103427	community garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis	Bacillus subtilis
GCF_030643845.1	Bacillus subtilis	Complete Genome	current	4227198	1	SAMN32775247	Starch plant	China: Guangxi		non_saline_candidate		Bacillus subtilis	Bacillus subtilis
GCF_035822435.1	Bacillus subtilis	Scaffold	current	4133452	16	SAMN33940740	soil	Canada		non_saline_candidate		Bacillus subtilis	Bacillus subtilis
GCF_029916985.1	Bacillus subtilis subsp. subtilis	Complete Genome	current	4163183	2	SAMN34231589	soil	China:Wuhan		non_saline_candidate		Bacillus subtilis	Bacillus subtilis
GCF_035822295.1	Bacillus stercoris	Scaffold	current	4042839	19	SAMN33940744	soil	Trinidad and Tobago: Trinidad		non_saline_candidate		Bacillus stercoris	Bacillus stercoris
GCF_004116955.1	Bacillus vallismortis	Complete Genome	current	4286362	1	SAMN08222596	soil	USA		non_saline_candidate		Bacillus vallismortis	Bacillus vallismortis
GCF_003441635.1	Bacillus velezensis	Chromosome	current	4009999	3	SAMN09856379	soil	USA		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_002005345.1	Bacillus velezensis	Complete Genome	current	4143608	2	SAMN06196402	rice paddy soil	Korea: Goheung		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_045344285.1	Bacillus velezensis	Complete Genome	current	3895561	1	SAMN44786005	soil	China: Hunan		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_021892375.1	Bacillus velezensis	Scaffold	current	3939663	47	SAMN25352221	soil	Russia		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_037889395.1	Bacillus velezensis	Scaffold	current	4007168	26	SAMN40597287	soil	China: Guangdong, Zhanjiang		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_044905085.1	Bacillus velezensis	Complete Genome	current	4186033	1	SAMN42181623	rhizosphere soil	China: chongqing		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_049354995.1	Bacillus velezensis	Complete Genome	current	3907381	1	SAMN40450121	soil	China: Guangxi Zhuang Autonomous Region		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_024919095.1	Bacillus velezensis	Complete Genome	current	4010225	1	SAMN30473216	Commercial plant nursery	Viet Nam: Da Lat		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_002117165.1	Bacillus velezensis	Complete Genome	current	3929792	1	SAMN03571282	rice rhizosphere soil	South Korea: Cheongwon		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_054889405.1	Bacillus velezensis	Chromosome	current	3931236	32	SAMN53034370	soil isolate	Brazil: Parana	soil	non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_054187945.1	Bacillus velezensis	Complete Genome	current	3918694	1	SAMN52734726	soil	China:Qinghai		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_051131645.1	Bacillus velezensis	Chromosome	current	3914087	19	SAMN44265031	soil	Thailand		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
GCF_054966515.1	Bacillus velezensis	Scaffold	current	3886856	23	SAMN55205697	rhizosphere soil	China: Gansu, Min County		non_saline_candidate		Bacillus velezensis	Bacillus velezensis
