Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_008824205.1	Bacillus amyloliquefaciens	Complete Genome	current	4118763	1	SAMN12860423	soil	South Korea		non_saline_candidate	
GCF_011440355.1	Bacillus amyloliquefaciens	Contig	current	4405867	920	SAMN14209461	soil	India		non_saline_candidate	
GCF_011751575.1	Bacillus albus	Scaffold	current	5371297	79	SAMN13864946	Soybean rhizosphere soil	China:hebei		non_saline_candidate	
GCF_011751595.1	Bacillus albus	Scaffold	current	5760676	107	SAMN13865276	Soybean rhizosphere soil	China:hebei		non_saline_candidate	
GCF_011754125.1	Bacillus amyloliquefaciens	Contig	current	4113229	11	SAMN13405460	rhizosphere soil	India: Coimbatore		non_saline_candidate	
GCF_013122255.1	Bacillus amyloliquefaciens	Complete Genome	current	4026648	1	SAMN14897115	soil	Taiwan: Taichung		non_saline_candidate	
GCF_013283915.1	Bacillus altitudinis	Complete Genome	current	3879167	1	SAMN15053797	potato plant	Belarus: Babruysk District		non_saline_candidate	
GCF_013328835.1	Bacillus amyloliquefaciens	Complete Genome	current	4006790	1	SAMN15097872	soil	China		non_saline_candidate	
GCF_013391605.1	Bacillus altitudinis	Scaffold	current	3794141	37	SAMN15318238	roots	Argentina: Misiones	Ilex paraguariensis	non_saline_candidate	
GCF_013391615.1	Bacillus altitudinis	Scaffold	current	3737950	48	SAMN15320438	roots	Argentina: Misiones	Ilex paraguariensis	non_saline_candidate	
GCF_013423695.1	Bacillus amyloliquefaciens	Contig	current	3930796	43	SAMN14929116	soil	China:Guangdong		non_saline_candidate	
GCF_014622745.1	Bacillus amyloliquefaciens	Complete Genome	current	4036119	1	SAMN15951545		China: Nanjing, Jiangsu	healthy tomato plant at flowering stage	non_saline_candidate	
GCF_014854735.1	Bacillus amyloliquefaciens	Complete Genome	current	4037030	2	SAMN09217686	soil	China		non_saline_candidate	
GCF_015620945.1	Bacillus albus	Contig	current	5965175	156	SAMN16746851	soil	Mexico		non_saline_candidate	
GCF_015689015.1	Bacillus altitudinis	Complete Genome	current	3718493	1	SAMN16824743	rhizosphere	China	Citrus reticulata	non_saline_candidate	
GCF_015845485.1	Bacillus amyloliquefaciens	Scaffold	current	3913845	29	SAMN03654318	soil	USA		non_saline_candidate	
GCF_015880875.1	Bacillus amyloliquefaciens	Contig	current	4155772	37	SAMN03651974	maybe soil	China		non_saline_candidate	
GCF_015999565.1	Bacillus amyloliquefaciens	Complete Genome	current	3915550	1	SAMN16976109	soil	China:Qinghai		non_saline_candidate	
GCF_016767855.1	Bacillus altitudinis	Complete Genome	current	3741767	1	SAMN17313277	soil	China:Longyan		non_saline_candidate	
GCF_017161205.1	Bacillus altitudinis	Complete Genome	current	3729040	1	SAMN16930279	Soil samples of chilli in Haidian Harbor Garden, Haikou city, Hainan Province, China	China: Haidian Harbor Garden, Haikou city, Hainan Province		non_saline_candidate	
GCF_017815555.1	Bacillus amyloliquefaciens	Complete Genome	current	3929653	1	SAMN18579264	soil	South Korea		non_saline_candidate	
GCF_017948365.1	Bacillus altitudinis	Complete Genome	current	3804206	1	SAMN18642715	soil	China:Shandong		non_saline_candidate	
GCF_017948535.1	Bacillus amyloliquefaciens	Scaffold	current	3979503	24	SAMN18092518	soil	China: Henan		non_saline_candidate	
GCF_018223605.1	Bacillus amyloliquefaciens	Complete Genome	current	3861210	1	SAMN18839283	soil	China:Yangling		non_saline_candidate	
GCF_018363035.1	Bacillus amyloliquefaciens	Complete Genome	current	3933788	1	SAMN19035411	soil	France: Gers		non_saline_candidate	
GCF_019164215.1	Bacillus altitudinis	Complete Genome	current	3763082	1	SAMN19072201	rice rhizosphere soil	China: Heilongjiang Province	missing	non_saline_candidate	
GCF_022570695.1	Bacillus altitudinis	Complete Genome	current	3727518	1	SAMN26499422	Fertile soil	China: Shandong, Qingdao		non_saline_candidate	
GCF_022700755.1	Bacillus altitudinis	Complete Genome	current	3937910	1	SAMN16580015	Soil in tiger area of zoo	China:zhengzhou		non_saline_candidate	
GCF_022819205.1	Bacillus altitudinis	Chromosome	current	3767351	91	SAMN27065537	paddy rhizosphere	Malaysia		non_saline_candidate	
GCF_023823755.1	Bacillus altitudinis	Complete Genome	current	3762948	1	SAMN22304396	soil	China		non_saline_candidate	
GCF_024362715.1	Bacillus altitudinis	Complete Genome	current	3951520	1	SAMN29636746	diseased muskmelon fruit	China:Anhui	plant	non_saline_candidate	
GCF_024380035.1	Bacillus altitudinis	Complete Genome	current	3825696	2	SAMN29751147	soil	USA:Tenesee		non_saline_candidate	
GCF_024397295.1	Bacillus altitudinis	Complete Genome	current	3811827	1	SAMN29628484	TNT red soil	China: Gansu		non_saline_candidate	
GCF_026065915.1	Bacillus altitudinis	Contig	current	3806151	51	SAMN20691897	Garden soil	India: Maharashtra		non_saline_candidate	
GCF_026786855.1	Bacillus altitudinis	Scaffold	current	3711784	40	SAMN25520139	soil	Canada: Grand Nord		non_saline_candidate	
GCF_026787125.1	Bacillus altitudinis	Scaffold	current	3703009	92	SAMN25843195	soil	India		non_saline_candidate	
GCF_026787145.1	Bacillus altitudinis	Scaffold	current	3721078	37	SAMN25843193	soil	India		non_saline_candidate	
GCF_026787165.1	Bacillus altitudinis	Scaffold	current	3713340	55	SAMN25843194	soil	India		non_saline_candidate	
GCF_026787185.1	Bacillus altitudinis	Scaffold	current	3702871	54	SAMN25843192	soil	France		non_saline_candidate	
GCF_026787245.1	Bacillus altitudinis	Scaffold	current	3808571	91	SAMN25843188	soil	Greenland		non_saline_candidate	
GCF_026787255.1	Bacillus altitudinis	Scaffold	current	3701442	112	SAMN25843187	soil	Greenland		non_saline_candidate	
GCF_026787265.1	Bacillus altitudinis	Scaffold	current	3677418	150	SAMN25843189	soil	Greenland		non_saline_candidate	
GCF_026787325.1	Bacillus altitudinis	Scaffold	current	3798571	110	SAMN25843183	soil	Greenland		non_saline_candidate	
GCF_026787385.1	Bacillus altitudinis	Scaffold	current	3695084	252	SAMN25843181	soil	Canada		non_saline_candidate	
GCF_026787405.1	Bacillus altitudinis	Scaffold	current	3711755	62	SAMN25843180	soil	Canada		non_saline_candidate	
GCF_026787485.1	Bacillus altitudinis	Scaffold	current	3667121	187	SAMN25843184	soil	Greenland		non_saline_candidate	
GCF_026787695.1	Bacillus altitudinis	Scaffold	current	3627103	244	SAMN25843165	soil	Grenada		non_saline_candidate	
GCF_026787755.1	Bacillus altitudinis	Scaffold	current	3866019	130	SAMN25843164	soil	Trinidad and Tobago: Trinidad		non_saline_candidate	
GCF_026787805.1	Bacillus altitudinis	Scaffold	current	3702556	84	SAMN25843160	soil	Cote d'Ivoire: Africa		non_saline_candidate	
GCF_026787845.1	Bacillus altitudinis	Scaffold	current	3699278	97	SAMN25843158	soil	Cote d'Ivoire: Africa		non_saline_candidate	
GCF_026787895.1	Bacillus altitudinis	Scaffold	current	3699463	72	SAMN25843157	soil	Cote d'Ivoire: Africa		non_saline_candidate	
GCF_026787965.1	Bacillus altitudinis	Scaffold	current	3695096	45	SAMN25843151	soil	France: Paris		non_saline_candidate	
GCF_027215635.2	Bacillus altitudinis	Contig	current	3707106	15	SAMN32241506	soil	India: Assam, Jorhat		non_saline_candidate	
GCF_028462395.1	Bacillus albus	Scaffold	current	5843889	78	SAMN32946367	soil	not applicable		non_saline_candidate	
GCF_030011555.1	Bacillus altitudinis	Complete Genome	current	3950658	2	SAMN34046341	peat soil samples	Malaysia		non_saline_candidate	
GCF_030123125.1	Bacillus altitudinis	Complete Genome	current	3797173	1	SAMN34374888	pine forrest soil between two spruce trees	Germany: near Munchenroda, Jena		non_saline_candidate	
GCF_030271195.1	Bacillus altitudinis	Contig	current	3635805	16	SAMN35018848	soil	Morocco: Errachidia, Merzouga		non_saline_candidate	
GCF_030271235.1	Bacillus altitudinis	Scaffold	current	3634564	17	SAMN35018716	soil	Morocco: Marrakech		non_saline_candidate	
GCF_030291995.1	Bacillus altitudinis	Complete Genome	current	3919705	2	SAMN34374876	grassland soil	Denmark: Jaegersborg Dyrehave		non_saline_candidate	
GCF_035580465.1	Bacillus altitudinis	Complete Genome	current	3807059	1	SAMN38087916	soil	Spain: Madrid		non_saline_candidate	
GCF_035823535.1	Bacillus altitudinis	Scaffold	current	3725038	77	SAMN33940709	soil	Canada		non_saline_candidate	
GCF_035823635.1	Bacillus altitudinis	Scaffold	current	3734265	99	SAMN33940705	soil	Grenada		non_saline_candidate	
GCF_036211365.1	Bacillus altitudinis	Scaffold	current	3946813	170	SAMN32927306	soil	USA		non_saline_candidate	
GCF_036287315.1	Bacillus albus	Complete Genome	current	5862124	4	SAMN39439834	soil	China: Shanxi		non_saline_candidate	
GCF_036348295.1	Bacillus altitudinis	Contig	current	3693039	45	SAMN37252655	roots	Tunisia: Mednine	Nicotana glauca	non_saline_candidate	
GCF_036348315.1	Bacillus altitudinis	Contig	current	3693680	48	SAMN37230675	roots	Tunisia: Mednine	Tetraena alba	non_saline_candidate	
GCF_036348375.1	Bacillus altitudinis	Contig	current	3696957	47	SAMN37919957	roots	Tunisia: Mednine	Tetraena alba	non_saline_candidate	
GCF_036351915.1	Bacillus altitudinis	Contig	current	3691887	36	SAMN38029050	roots	Tunisia: Mednine	Tetraena alba	non_saline_candidate	
GCF_040105285.1	Bacillus albus	Contig	current	5656644	178	SAMN41663826	soil	India: Pune		non_saline_candidate	
GCF_040716315.1	Bacillus altitudinis	Scaffold	current	3725829	13	SAMN36379393	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate	
GCF_040716335.1	Bacillus altitudinis	Scaffold	current	3676229	33	SAMN36379392	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate	
GCF_040716345.1	Bacillus altitudinis	Scaffold	current	3671005	16	SAMN36379391	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate	
GCF_040716355.1	Bacillus altitudinis	Scaffold	current	3763491	47	SAMN36379390	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate	
GCF_040716365.1	Bacillus altitudinis	Scaffold	current	3825304	13	SAMN36379389	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate	
GCF_042136375.2	Bacillus altaicus	Complete Genome	current	5397466	2	SAMN43771369	soil	Russia:Altai Republic		non_saline_candidate	
GCF_049949115.1	Bacillus altitudinis	Complete Genome	current	3679424	1	SAMN48073765	root system of maize	China:Shandong		non_saline_candidate	
GCF_050368935.1	Bacillus altitudinis	Complete Genome	current	3799862	2	SAMN47865735	soil	China: Hubei		non_saline_candidate	
GCF_050458465.1	Bacillus albus	Contig	current	5138208	33	SAMN41009352	soil	Grenada		non_saline_candidate	
GCF_050458505.1	Bacillus albus	Contig	current	5138824	37	SAMN41009351	soil	Grenada		non_saline_candidate	
GCF_050458565.1	Bacillus albus	Scaffold	current	5139035	33	SAMN41009349	soil	Grenada		non_saline_candidate	
GCF_050459225.1	Bacillus altitudinis	Contig	current	3719515	60	SAMN41009319	soil	Canada: Northern Regions		non_saline_candidate	
GCF_050459245.1	Bacillus altitudinis	Contig	current	3742483	58	SAMN41009318	soil	Canada: Northern Regions		non_saline_candidate	
GCF_050459265.1	Bacillus altitudinis	Contig	current	3723206	44	SAMN41009317	soil	Canada: Northern Regions		non_saline_candidate	
GCF_050459285.1	Bacillus altitudinis	Contig	current	3745666	48	SAMN41009316	soil	Canada: Northern Regions		non_saline_candidate	
GCF_050459305.1	Bacillus altitudinis	Contig	current	3699879	61	SAMN41009315	soil	India: Bawana Village, Delhi		non_saline_candidate	
GCF_050459325.1	Bacillus altitudinis	Contig	current	3720636	55	SAMN41009314	soil	India: Bawana Village, Delhi		non_saline_candidate	
GCF_050459345.1	Bacillus altitudinis	Contig	current	3718572	62	SAMN41009313	soil	India: Bawana Village, Delhi		non_saline_candidate	
GCF_050459705.1	Bacillus altitudinis	Contig	current	3693509	50	SAMN41009301	soil	France: Inst Pasteur, Paris		non_saline_candidate	
GCF_050474005.1	Bacillus altitudinis	Contig	current	3860720	11	SAMN41397044	clay soil	USA		non_saline_candidate	
GCF_051580865.1	Bacillus [licheniformis] CMCC 63516	Contig	current	4461915	39	SAMN49770414	forest soil	China: Guizhou Province		non_saline_candidate	
GCF_051908495.1	Bacillus altitudinis	Contig	current	3725830	25	SAMN50280052	soil	South Africa: Limpopo Province		non_saline_candidate	
GCF_054661475.1	Bacillus altitudinis	Contig	current	3734451	37	SAMD00813970	soil	Japan:Okinawa		non_saline_candidate	
GCF_055693975.1	Bacillus altitudinis	Contig	current	3997665	4	SAMN53475183	soil	Italy		non_saline_candidate	
GCF_055694145.1	Bacillus altitudinis	Complete Genome	current	3774239	1	SAMN54251676	soil	Italy		non_saline_candidate	
GCF_056682135.1	Bacillus altitudinis	Contig	current	3730574	48	SAMN57110116	soil	Nepal: Bhimad		non_saline_candidate	
GCF_056836605.1	Bacillus altitudinis	Complete Genome	current	3841571	1	SAMN57208094	soil	not provided		non_saline_candidate	
GCF_977007675.1	Bacillus altitudinis	Complete Genome	current	3770392	1	SAMEA120226978	Petroleum hydrocarbon-degrading enrichment culture obtained through microcosm enrichment of a PHC-polluted soil: FR_PLO_05_A_M1	France		non_saline_candidate	
GCF_000725325.1	Bacillus anthracis	Complete Genome	current	5490124	3	SAMN02874036	soil	South Korea: Changnyeong		non_saline_candidate	
GCF_000742655.1	Bacillus anthracis	Complete Genome	current	5331737	2	SAMN02736984	soil	USA: Louisiana		non_saline_candidate	
GCF_000784675.1	Bacillus amyloliquefaciens HB-26	Contig	current	3989358	39	SAMN03196740	soil	China		non_saline_candidate	
GCF_000832965.1	Bacillus anthracis	Complete Genome	current	5601083	3	SAMN03174509	soil	USA		non_saline_candidate	
GCF_001077735.1	Bacillus amyloliquefaciens Lx-11	Contig	current	3886886	39	SAMN03854673	soil	China: Jiangsu Province		non_saline_candidate	
GCF_002025335.1	Bacillus anthracis	Contig	current	5376990	87	SAMN05511400	soil	Georgia		non_saline_candidate	
GCF_002550475.1	Bacillus anthracis	Scaffold	current	5561486	77	SAMN07598655	plant root	USA: NC		non_saline_candidate	
GCF_002570225.1	Bacillus anthracis	Scaffold	current	5544905	161	SAMN07598357	Plant; Corn	USA: NC		non_saline_candidate	
GCF_002896575.1	Bacillus anthracis	Contig	current	5487715	79	SAMN08366820	soil	Turkey: Digor		non_saline_candidate	
GCF_002896585.1	Bacillus anthracis	Contig	current	5456944	31	SAMN08366821	soil	Turkey: Selim		non_saline_candidate	
GCF_002896655.1	Bacillus anthracis	Contig	current	5458173	28	SAMN08366822	soil	Turkey: Selim		non_saline_candidate	
GCF_003063965.1	Bacillus anthracis	Scaffold	current	5458450	24	SAMN08812795	soil	Germany: Neumuenster		non_saline_candidate	
GCF_003063985.1	Bacillus anthracis	Contig	current	5673784	239	SAMN08812796	soil	Germany: Neumuenster		non_saline_candidate	
GCF_003064005.1	Bacillus anthracis	Contig	current	5457902	35	SAMN08812797	soil	South Africa: Cape Town, Rondebusch		non_saline_candidate	
GCF_009669005.1	Bacillus anthracis	Contig	current	5417873	72	SAMN10614346	soil	South Africa: Northern Cape Province	Tragelaphus strepsiceros	non_saline_candidate	
GCF_009669165.1	Bacillus anthracis	Contig	current	5352180	751	SAMN10614336	soil	South Africa: Northern Cape Province		non_saline_candidate	
GCF_014712215.1	Bacillus anthracis	Contig	current	5429451	178	SAMN16093282	soil contaminated with killed cattle	Kazakhstan:West Kazakhstan	not applicable	non_saline_candidate	
GCF_018502525.1	Bacillus amyloliquefaciens	Complete Genome	current	3974408	1	SAMN19091683	Natural soil	China:Shanghai		non_saline_candidate	
GCF_019458745.1	Bacillus amyloliquefaciens	Contig	current	3944679	39	SAMN20524484	soil	Taiwan: Neipu Township		non_saline_candidate	
GCF_019458775.1	Bacillus amyloliquefaciens	Contig	current	3985605	38	SAMN20524472	soil	Taiwan: Neipu Township		non_saline_candidate	
GCF_019693235.1	Bacillus anthracis	Complete Genome	current	5503192	3	SAMN20475816	soil	Indonesia: East Java Province, Pacitan District, Donorojo Subdistrict, Klepu Village, Nglesen backwoods		non_saline_candidate	
GCF_019856555.1	Bacillus amyloliquefaciens	Complete Genome	current	4066277	1	SAMN20999035	soil	USA:California		non_saline_candidate	
GCF_019880425.1	Bacillus amyloliquefaciens	Complete Genome	current	4155652	1	SAMN21001928	soil	USA:California		non_saline_candidate	
GCF_019997305.2	Bacillus amyloliquefaciens	Scaffold	current	4167230	260	SAMN20062556	soil	Turkey: Antalya		non_saline_candidate	
GCF_020971785.1	Bacillus amyloliquefaciens	Complete Genome	current	3939411	1	SAMN23230624	soil	China:shouguang		non_saline_candidate	
GCF_022059355.1	Bacillus anthracis	Contig	current	5175505	35	SAMN10232964	soil	India		non_saline_candidate	
GCF_022220565.1	Bacillus anthracis	Complete Genome	current	5324844	2	SAMN13164715	soil	Bulgaria: Sofia	not applicable	non_saline_candidate	
GCF_022220585.1	Bacillus anthracis	Complete Genome	current	5505142	3	SAMN13164720	soil	Bulgaria: Tarnovo	not applicable	non_saline_candidate	
GCF_022220605.1	Bacillus anthracis	Complete Genome	current	5506216	3	SAMN13164723	soil	Bulgaria: Silistra	not applicable	non_saline_candidate	
GCF_022220625.1	Bacillus anthracis	Complete Genome	current	5506603	3	SAMN13164718	soil	Bulgaria: Jambol	not applicable	non_saline_candidate	
GCF_022220905.1	Bacillus anthracis	Complete Genome	current	5229919	1	SAMN13164717	soil	Bulgaria: Jambol	not applicable	non_saline_candidate	
GCF_022221005.1	Bacillus anthracis	Complete Genome	current	5324563	2	SAMN13164724	soil	Bulgaria: Silistra	not applicable	non_saline_candidate	
GCF_022221025.1	Bacillus anthracis	Complete Genome	current	5506606	3	SAMN13164716	soil	Bulgaria: Jambol	not applicable	non_saline_candidate	
GCF_022221165.1	Bacillus anthracis	Complete Genome	current	5504459	3	SAMN18241470	soil	Bangladesh	not collected	non_saline_candidate	
GCF_022221285.1	Bacillus anthracis	Complete Genome	current	5496094	3	SAMN18241464	soil	South Africa	not collected	non_saline_candidate	
GCF_022221305.1	Bacillus anthracis	Complete Genome	current	5486304	3	SAMN18241463	soil	Zimbabwe	not collected	non_saline_candidate	
GCF_022832415.1	Bacillus amyloliquefaciens	Contig	current	3958137	29	SAMN27023760	soil	Brazil: Goias,Unai		non_saline_candidate	
GCF_023115375.1	Bacillus amyloliquefaciens	Complete Genome	current	3915550	1	SAMN27628424	rhizosphere soil	China: Nianbaoyuze Alpine meadow in Guoluo Prefecture, Qinghai	Carex myosuroides	non_saline_candidate	
GCF_023824055.1	Bacillus anthracis	Complete Genome	current	5732156	4	SAMN22304411	soil	China		non_saline_candidate	
GCF_024584765.1	Bacillus amyloliquefaciens	Complete Genome	current	3931131	2	SAMN18298926	soil	China: ShanDong		non_saline_candidate	
GCF_024653145.1	Bacillus amyloliquefaciens	Contig	current	3900554	46	SAMN30154157	soil	Brazil: Brasilia		non_saline_candidate	
GCF_024653455.1	Bacillus amyloliquefaciens	Contig	current	4118578	127	SAMN30125007	soil	Brazil: Brasilia		non_saline_candidate	
GCF_024653505.1	Bacillus amyloliquefaciens	Contig	current	3913627	46	SAMN30125173	soil	Brazil: Goias,Unai		non_saline_candidate	
GCF_024653525.1	Bacillus amyloliquefaciens	Contig	current	3956622	31	SAMN30126292	soil	Brazil: Brasilia		non_saline_candidate	
GCF_024653545.1	Bacillus amyloliquefaciens	Contig	current	3848891	31	SAMN30127316	soil	Brazil: Brasilia		non_saline_candidate	
GCF_026786425.1	Bacillus amyloliquefaciens	Scaffold	current	3811666	33	SAMN25520157	soil	USA: Virginia		non_saline_candidate	
GCF_028895325.1	Bacillus amyloliquefaciens	Scaffold	current	3881964	187	SAMN10762342		China: Wuhan	plant	non_saline_candidate	
GCF_028993875.1	Bacillus amyloliquefaciens	Scaffold	current	4135865	18	SAMN33406553	soil	China: Shenyang		non_saline_candidate	
GCF_032918205.1	Bacillus amyloliquefaciens	Chromosome	current	3933863	2	SAMN37756264	Root rhizosphere	Trinidad and Tobago: Chaguanas		non_saline_candidate	
GCF_032930055.1	Bacillus amyloliquefaciens	Chromosome	current	3929978	4	SAMN37804249	soil rhizosphere	Trinidad and Tobago: Trinidad, Cunupia	missing	non_saline_candidate	
GCF_032933215.1	Bacillus amyloliquefaciens	Chromosome	current	3931318	3	SAMN37797355	soil rhizosphere	Trinidad and Tobago: Trinidad, Princes Town	missing	non_saline_candidate	
GCF_035600155.1	Bacillus amyloliquefaciens	Chromosome	current	4007389	2	SAMN39183109	soil	Serbia: Donje Vidovo		non_saline_candidate	
GCF_035809095.1	Bacillus amyloliquefaciens	Contig	current	4014931	29	SAMN33940603	soil	Russia		non_saline_candidate	
GCF_035822495.1	Bacillus amyloliquefaciens	Scaffold	current	3792584	18	SAMN33940737	soil	India		non_saline_candidate	
GCF_036347615.1	Bacillus amyloliquefaciens	Complete Genome	current	3887947	1	SAMN38562212	Cultivated soil	China:Anhui		non_saline_candidate	
GCF_039643455.1	Bacillus amyloliquefaciens	Complete Genome	current	3929792	1	SAMN23398842	soil	China		non_saline_candidate	
GCF_041947055.1	Bacillus amyloliquefaciens	Scaffold	current	3965760	33	SAMN43439316	roots	Russia: Stavropol Krai	Chenopodium album	non_saline_candidate	
GCF_041947065.1	Bacillus amyloliquefaciens	Scaffold	current	3871036	38	SAMN43440204	roots	Russia: Stavropol Krai	Alhagi maurorum	non_saline_candidate	
GCF_042879715.1	Bacillus amyloliquefaciens	Contig	current	4361518	2	SAMN43882060	soil	South Korea: Jeonnam, Gokseong-gun		non_saline_candidate	
GCF_042937815.1	Bacillus amyloliquefaciens	Complete Genome	current	4105932	2	SAMN43929738	soil	USA: California, Fresno		non_saline_candidate	
GCF_042938425.1	Bacillus amyloliquefaciens	Complete Genome	current	4021214	1	SAMN43929736	soil	USA: California, Fresno		non_saline_candidate	
GCF_043950675.1	Bacillus amyloliquefaciens	Complete Genome	current	4021217	1	SAMN43929734	soil	USA: California, Fresno		non_saline_candidate	
GCF_043950685.1	Bacillus amyloliquefaciens	Complete Genome	current	4073729	2	SAMN43929735	soil	USA: California, Fresno		non_saline_candidate	
GCF_043950715.1	Bacillus amyloliquefaciens	Complete Genome	current	4032984	2	SAMN43929737	soil	USA: California, Fresno		non_saline_candidate	
GCF_046058975.1	Bacillus amyloliquefaciens	Complete Genome	current	3957046	1	SAMN45109269	soil	China:changchun	missing	non_saline_candidate	
GCF_046537695.1	Bacillus amyloliquefaciens	Scaffold	current	3917685	25	SAMN38191810	soils contaminated with PPN	Portugal: Mealhada		non_saline_candidate	
GCF_047779965.1	Bacillus amyloliquefaciens	Contig	current	4140577	52	SAMN46560463	compost was generated exclusively from plant-based material, recycled equine manure in composters enriched with California worms (Eisenia foetida).	Argentina: Ro Cuarto		non_saline_candidate	
GCF_047780285.1	Bacillus amyloliquefaciens	Contig	current	4146513	64	SAMN46560016	compost was generated exclusively from plant-based material, recycled equine manure in composters enriched with California worms (Eisenia foetida).	Argentina: Ro Cuarto		non_saline_candidate	
GCF_047780485.1	Bacillus amyloliquefaciens	Contig	current	3871373	43	SAMN46715275	rhizosphere	Russia: Krasnodar	soybean	non_saline_candidate	
GCF_049060485.1	Bacillus amyloliquefaciens	Contig	current	3871373	43	SAMN44597910	rhizosphere	Russia: Krasnodar	soybean	non_saline_candidate	
GCF_049537795.1	Bacillus amyloliquefaciens	Scaffold	current	3974535	14	SAMN47804572	Soils	China		non_saline_candidate	
GCF_049677765.1	Bacillus amyloliquefaciens	Complete Genome	current	4007020	1	SAMN47635298	soil	China	Rumex acetosa L.	non_saline_candidate	
GCF_050410745.1	Bacillus amyloliquefaciens	Complete Genome	current	3932140	1	SAMN48174638	Rhizosphere soil of Musa acuminata	China: Hainan Province	Musa acuminata	non_saline_candidate	
GCF_050462345.1	Bacillus amyloliquefaciens	Contig	current	3940558	20	SAMN41009228	soil	Ukraine: Kiev		non_saline_candidate	
GCF_050462505.1	Bacillus amyloliquefaciens	Contig	current	4084526	40	SAMN41009226	soil	Lithuania: Vilinus		non_saline_candidate	
GCF_050466345.1	Bacillus amyloliquefaciens	Contig	current	3908231	16	SAMN41009127	soil	Japan		non_saline_candidate	
GCF_050473685.1	Bacillus amyloliquefaciens	Contig	current	4205553	16	SAMN41397059	soil	Japan		non_saline_candidate	
GCF_051122665.1	Bacillus amyloliquefaciens	Complete Genome	current	3929792	1	SAMN46764892	plant	China: Baoshan City, Yunnan Province		non_saline_candidate	
