Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species
GCF_013391605.1	Bacillus altitudinis	Scaffold	current	3794141	37	SAMN15318238	roots	Argentina: Misiones	Ilex paraguariensis	non_saline_candidate		Bacillus altitudinis
GCF_013391615.1	Bacillus altitudinis	Scaffold	current	3737950	48	SAMN15320438	roots	Argentina: Misiones	Ilex paraguariensis	non_saline_candidate		Bacillus altitudinis
GCF_014622745.1	Bacillus amyloliquefaciens	Complete Genome	current	4036119	1	SAMN15951545		China: Nanjing, Jiangsu	healthy tomato plant at flowering stage	non_saline_candidate		Bacillus amyloliquefaciens
GCF_014854735.1	Bacillus amyloliquefaciens	Complete Genome	current	4037030	2	SAMN09217686	soil	China		non_saline_candidate		Bacillus amyloliquefaciens
GCF_015689015.1	Bacillus altitudinis	Complete Genome	current	3718493	1	SAMN16824743	rhizosphere	China	Citrus reticulata	non_saline_candidate		Bacillus altitudinis
GCF_015845485.1	Bacillus amyloliquefaciens	Scaffold	current	3913845	29	SAMN03654318	soil	USA		non_saline_candidate		Bacillus amyloliquefaciens
GCF_015999565.1	Bacillus amyloliquefaciens	Complete Genome	current	3915550	1	SAMN16976109	soil	China:Qinghai		non_saline_candidate		Bacillus amyloliquefaciens
GCF_016767855.1	Bacillus altitudinis	Complete Genome	current	3741767	1	SAMN17313277	soil	China:Longyan		non_saline_candidate		Bacillus altitudinis
GCF_017161205.1	Bacillus altitudinis	Complete Genome	current	3729040	1	SAMN16930279	Soil samples of chilli in Haidian Harbor Garden, Haikou city, Hainan Province, China	China: Haidian Harbor Garden, Haikou city, Hainan Province		non_saline_candidate		Bacillus altitudinis
GCF_017815555.1	Bacillus amyloliquefaciens	Complete Genome	current	3929653	1	SAMN18579264	soil	South Korea		non_saline_candidate		Bacillus amyloliquefaciens
GCF_017948365.1	Bacillus altitudinis	Complete Genome	current	3804206	1	SAMN18642715	soil	China:Shandong		non_saline_candidate		Bacillus altitudinis
GCF_017948535.1	Bacillus amyloliquefaciens	Scaffold	current	3979503	24	SAMN18092518	soil	China: Henan		non_saline_candidate		Bacillus amyloliquefaciens
GCF_018223605.1	Bacillus amyloliquefaciens	Complete Genome	current	3861210	1	SAMN18839283	soil	China:Yangling		non_saline_candidate		Bacillus amyloliquefaciens
GCF_018363035.1	Bacillus amyloliquefaciens	Complete Genome	current	3933788	1	SAMN19035411	soil	France: Gers		non_saline_candidate		Bacillus amyloliquefaciens
GCF_019164215.1	Bacillus altitudinis	Complete Genome	current	3763082	1	SAMN19072201	rice rhizosphere soil	China: Heilongjiang Province	missing	non_saline_candidate		Bacillus altitudinis
GCF_022570695.1	Bacillus altitudinis	Complete Genome	current	3727518	1	SAMN26499422	Fertile soil	China: Shandong, Qingdao		non_saline_candidate		Bacillus altitudinis
GCF_022700755.1	Bacillus altitudinis	Complete Genome	current	3937910	1	SAMN16580015	Soil in tiger area of zoo	China:zhengzhou		non_saline_candidate		Bacillus altitudinis
GCF_022819205.1	Bacillus altitudinis	Chromosome	current	3767351	91	SAMN27065537	paddy rhizosphere	Malaysia		non_saline_candidate		Bacillus altitudinis
GCF_023823755.1	Bacillus altitudinis	Complete Genome	current	3762948	1	SAMN22304396	soil	China		non_saline_candidate		Bacillus altitudinis
GCF_024362715.1	Bacillus altitudinis	Complete Genome	current	3951520	1	SAMN29636746	diseased muskmelon fruit	China:Anhui	plant	non_saline_candidate		Bacillus altitudinis
GCF_024380035.1	Bacillus altitudinis	Complete Genome	current	3825696	2	SAMN29751147	soil	USA:Tenesee		non_saline_candidate		Bacillus altitudinis
GCF_024397295.1	Bacillus altitudinis	Complete Genome	current	3811827	1	SAMN29628484	TNT red soil	China: Gansu		non_saline_candidate		Bacillus altitudinis
GCF_026786855.1	Bacillus altitudinis	Scaffold	current	3711784	40	SAMN25520139	soil	Canada: Grand Nord		non_saline_candidate		Bacillus altitudinis
GCF_026787125.1	Bacillus altitudinis	Scaffold	current	3703009	92	SAMN25843195	soil	India		non_saline_candidate		Bacillus altitudinis
GCF_026787145.1	Bacillus altitudinis	Scaffold	current	3721078	37	SAMN25843193	soil	India		non_saline_candidate		Bacillus altitudinis
GCF_026787165.1	Bacillus altitudinis	Scaffold	current	3713340	55	SAMN25843194	soil	India		non_saline_candidate		Bacillus altitudinis
GCF_026787185.1	Bacillus altitudinis	Scaffold	current	3702871	54	SAMN25843192	soil	France		non_saline_candidate		Bacillus altitudinis
GCF_026787245.1	Bacillus altitudinis	Scaffold	current	3808571	91	SAMN25843188	soil	Greenland		non_saline_candidate		Bacillus altitudinis
GCF_026787255.1	Bacillus altitudinis	Scaffold	current	3701442	112	SAMN25843187	soil	Greenland		non_saline_candidate		Bacillus altitudinis
GCF_026787265.1	Bacillus altitudinis	Scaffold	current	3677418	150	SAMN25843189	soil	Greenland		non_saline_candidate		Bacillus altitudinis
GCF_026787325.1	Bacillus altitudinis	Scaffold	current	3798571	110	SAMN25843183	soil	Greenland		non_saline_candidate		Bacillus altitudinis
GCF_026787405.1	Bacillus altitudinis	Scaffold	current	3711755	62	SAMN25843180	soil	Canada		non_saline_candidate		Bacillus altitudinis
GCF_026787485.1	Bacillus altitudinis	Scaffold	current	3667121	187	SAMN25843184	soil	Greenland		non_saline_candidate		Bacillus altitudinis
GCF_026787755.1	Bacillus altitudinis	Scaffold	current	3866019	130	SAMN25843164	soil	Trinidad and Tobago: Trinidad		non_saline_candidate		Bacillus altitudinis
GCF_026787805.1	Bacillus altitudinis	Scaffold	current	3702556	84	SAMN25843160	soil	Cote d'Ivoire: Africa		non_saline_candidate		Bacillus altitudinis
GCF_026787845.1	Bacillus altitudinis	Scaffold	current	3699278	97	SAMN25843158	soil	Cote d'Ivoire: Africa		non_saline_candidate		Bacillus altitudinis
GCF_026787895.1	Bacillus altitudinis	Scaffold	current	3699463	72	SAMN25843157	soil	Cote d'Ivoire: Africa		non_saline_candidate		Bacillus altitudinis
GCF_026787965.1	Bacillus altitudinis	Scaffold	current	3695096	45	SAMN25843151	soil	France: Paris		non_saline_candidate		Bacillus altitudinis
GCF_030011555.1	Bacillus altitudinis	Complete Genome	current	3950658	2	SAMN34046341	peat soil samples	Malaysia		non_saline_candidate		Bacillus altitudinis
GCF_030123125.1	Bacillus altitudinis	Complete Genome	current	3797173	1	SAMN34374888	pine forrest soil between two spruce trees	Germany: near Munchenroda, Jena		non_saline_candidate		Bacillus altitudinis
GCF_030271235.1	Bacillus altitudinis	Scaffold	current	3634564	17	SAMN35018716	soil	Morocco: Marrakech		non_saline_candidate		Bacillus altitudinis
GCF_030291995.1	Bacillus altitudinis	Complete Genome	current	3919705	2	SAMN34374876	grassland soil	Denmark: Jaegersborg Dyrehave		non_saline_candidate		Bacillus altitudinis
GCF_035580465.1	Bacillus altitudinis	Complete Genome	current	3807059	1	SAMN38087916	soil	Spain: Madrid		non_saline_candidate		Bacillus altitudinis
GCF_035823535.1	Bacillus altitudinis	Scaffold	current	3725038	77	SAMN33940709	soil	Canada		non_saline_candidate		Bacillus altitudinis
GCF_035823635.1	Bacillus altitudinis	Scaffold	current	3734265	99	SAMN33940705	soil	Grenada		non_saline_candidate		Bacillus altitudinis
GCF_036211365.1	Bacillus altitudinis	Scaffold	current	3946813	170	SAMN32927306	soil	USA		non_saline_candidate		Bacillus altitudinis
GCF_040716315.1	Bacillus altitudinis	Scaffold	current	3725829	13	SAMN36379393	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate		Bacillus altitudinis
GCF_040716335.1	Bacillus altitudinis	Scaffold	current	3676229	33	SAMN36379392	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate		Bacillus altitudinis
GCF_040716345.1	Bacillus altitudinis	Scaffold	current	3671005	16	SAMN36379391	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate		Bacillus altitudinis
GCF_040716355.1	Bacillus altitudinis	Scaffold	current	3763491	47	SAMN36379390	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate		Bacillus altitudinis
GCF_040716365.1	Bacillus altitudinis	Scaffold	current	3825304	13	SAMN36379389	Acid sulfate soil from rice cultivation	Viet Nam: Kien Giang province		non_saline_candidate		Bacillus altitudinis
GCF_049949115.1	Bacillus altitudinis	Complete Genome	current	3679424	1	SAMN48073765	root system of maize	China:Shandong		non_saline_candidate		Bacillus altitudinis
GCF_050368935.1	Bacillus altitudinis	Complete Genome	current	3799862	2	SAMN47865735	soil	China: Hubei		non_saline_candidate		Bacillus altitudinis
GCF_055694145.1	Bacillus altitudinis	Complete Genome	current	3774239	1	SAMN54251676	soil	Italy		non_saline_candidate		Bacillus altitudinis
GCF_056836605.1	Bacillus altitudinis	Complete Genome	current	3841571	1	SAMN57208094	soil	not provided		non_saline_candidate		Bacillus altitudinis
GCF_977007675.1	Bacillus altitudinis	Complete Genome	current	3770392	1	SAMEA120226978	Petroleum hydrocarbon-degrading enrichment culture obtained through microcosm enrichment of a PHC-polluted soil: FR_PLO_05_A_M1	France		non_saline_candidate		Bacillus altitudinis
GCF_018502525.1	Bacillus amyloliquefaciens	Complete Genome	current	3974408	1	SAMN19091683	Natural soil	China:Shanghai		non_saline_candidate		Bacillus amyloliquefaciens
GCF_019856555.1	Bacillus amyloliquefaciens	Complete Genome	current	4066277	1	SAMN20999035	soil	USA:California		non_saline_candidate		Bacillus amyloliquefaciens
GCF_019880425.1	Bacillus amyloliquefaciens	Complete Genome	current	4155652	1	SAMN21001928	soil	USA:California		non_saline_candidate		Bacillus amyloliquefaciens
GCF_020971785.1	Bacillus amyloliquefaciens	Complete Genome	current	3939411	1	SAMN23230624	soil	China:shouguang		non_saline_candidate		Bacillus amyloliquefaciens
GCF_023115375.1	Bacillus amyloliquefaciens	Complete Genome	current	3915550	1	SAMN27628424	rhizosphere soil	China: Nianbaoyuze Alpine meadow in Guoluo Prefecture, Qinghai	Carex myosuroides	non_saline_candidate		Bacillus amyloliquefaciens
GCF_024584765.1	Bacillus amyloliquefaciens	Complete Genome	current	3931131	2	SAMN18298926	soil	China: ShanDong		non_saline_candidate		Bacillus amyloliquefaciens
GCF_026786425.1	Bacillus amyloliquefaciens	Scaffold	current	3811666	33	SAMN25520157	soil	USA: Virginia		non_saline_candidate		Bacillus amyloliquefaciens
GCF_028895325.1	Bacillus amyloliquefaciens	Scaffold	current	3881964	187	SAMN10762342		China: Wuhan	plant	non_saline_candidate		Bacillus amyloliquefaciens
GCF_028993875.1	Bacillus amyloliquefaciens	Scaffold	current	4135865	18	SAMN33406553	soil	China: Shenyang		non_saline_candidate		Bacillus amyloliquefaciens
GCF_032918205.1	Bacillus amyloliquefaciens	Chromosome	current	3933863	2	SAMN37756264	Root rhizosphere	Trinidad and Tobago: Chaguanas		non_saline_candidate		Bacillus amyloliquefaciens
GCF_032930055.1	Bacillus amyloliquefaciens	Chromosome	current	3929978	4	SAMN37804249	soil rhizosphere	Trinidad and Tobago: Trinidad, Cunupia	missing	non_saline_candidate		Bacillus amyloliquefaciens
GCF_032933215.1	Bacillus amyloliquefaciens	Chromosome	current	3931318	3	SAMN37797355	soil rhizosphere	Trinidad and Tobago: Trinidad, Princes Town	missing	non_saline_candidate		Bacillus amyloliquefaciens
GCF_035600155.1	Bacillus amyloliquefaciens	Chromosome	current	4007389	2	SAMN39183109	soil	Serbia: Donje Vidovo		non_saline_candidate		Bacillus amyloliquefaciens
GCF_035822495.1	Bacillus amyloliquefaciens	Scaffold	current	3792584	18	SAMN33940737	soil	India		non_saline_candidate		Bacillus amyloliquefaciens
GCF_036347615.1	Bacillus amyloliquefaciens	Complete Genome	current	3887947	1	SAMN38562212	Cultivated soil	China:Anhui		non_saline_candidate		Bacillus amyloliquefaciens
GCF_039643455.1	Bacillus amyloliquefaciens	Complete Genome	current	3929792	1	SAMN23398842	soil	China		non_saline_candidate		Bacillus amyloliquefaciens
GCF_041947055.1	Bacillus amyloliquefaciens	Scaffold	current	3965760	33	SAMN43439316	roots	Russia: Stavropol Krai	Chenopodium album	non_saline_candidate		Bacillus amyloliquefaciens
GCF_041947065.1	Bacillus amyloliquefaciens	Scaffold	current	3871036	38	SAMN43440204	roots	Russia: Stavropol Krai	Alhagi maurorum	non_saline_candidate		Bacillus amyloliquefaciens
GCF_042937815.1	Bacillus amyloliquefaciens	Complete Genome	current	4105932	2	SAMN43929738	soil	USA: California, Fresno		non_saline_candidate		Bacillus amyloliquefaciens
GCF_042938425.1	Bacillus amyloliquefaciens	Complete Genome	current	4021214	1	SAMN43929736	soil	USA: California, Fresno		non_saline_candidate		Bacillus amyloliquefaciens
GCF_043950675.1	Bacillus amyloliquefaciens	Complete Genome	current	4021217	1	SAMN43929734	soil	USA: California, Fresno		non_saline_candidate		Bacillus amyloliquefaciens
GCF_043950685.1	Bacillus amyloliquefaciens	Complete Genome	current	4073729	2	SAMN43929735	soil	USA: California, Fresno		non_saline_candidate		Bacillus amyloliquefaciens
GCF_043950715.1	Bacillus amyloliquefaciens	Complete Genome	current	4032984	2	SAMN43929737	soil	USA: California, Fresno		non_saline_candidate		Bacillus amyloliquefaciens
GCF_046058975.1	Bacillus amyloliquefaciens	Complete Genome	current	3957046	1	SAMN45109269	soil	China:changchun	missing	non_saline_candidate		Bacillus amyloliquefaciens
GCF_046537695.1	Bacillus amyloliquefaciens	Scaffold	current	3917685	25	SAMN38191810	soils contaminated with PPN	Portugal: Mealhada		non_saline_candidate		Bacillus amyloliquefaciens
GCF_049537795.1	Bacillus amyloliquefaciens	Scaffold	current	3974535	14	SAMN47804572	Soils	China		non_saline_candidate		Bacillus amyloliquefaciens
GCF_049677765.1	Bacillus amyloliquefaciens	Complete Genome	current	4007020	1	SAMN47635298	soil	China	Rumex acetosa L.	non_saline_candidate		Bacillus amyloliquefaciens
GCF_050410745.1	Bacillus amyloliquefaciens	Complete Genome	current	3932140	1	SAMN48174638	Rhizosphere soil of Musa acuminata	China: Hainan Province	Musa acuminata	non_saline_candidate		Bacillus amyloliquefaciens
GCF_051122665.1	Bacillus amyloliquefaciens	Complete Genome	current	3929792	1	SAMN46764892	plant	China: Baoshan City, Yunnan Province		non_saline_candidate		Bacillus amyloliquefaciens
GCF_051225615.1	Bacillus amyloliquefaciens	Complete Genome	current	3997765	1	SAMN49556791	soil	Taiwan: Pingtung		non_saline_candidate		Bacillus amyloliquefaciens
GCF_053750095.1	Bacillus amyloliquefaciens	Complete Genome	current	4041589	1	SAMN50184179	rhizosphere soil	China:Nanjing	Tomato	non_saline_candidate		Bacillus amyloliquefaciens
GCF_054131895.1	Bacillus amyloliquefaciens	Complete Genome	current	3929780	1	SAMN22826121	soil	China: FuSong County	Panax ginseng	non_saline_candidate		Bacillus amyloliquefaciens
GCF_054816535.1	Bacillus amyloliquefaciens	Complete Genome	current	3980777	1	SAMN51803990	rhizosphere soil	China: Guizhou Province, Shibi County	Pseudostellaria heterophylla	non_saline_candidate		Bacillus amyloliquefaciens
GCF_056312695.1	Bacillus amyloliquefaciens	Complete Genome	current	4006786	1	SAMN56523219	rhizosphere soil	China:Tianjin		non_saline_candidate		Bacillus amyloliquefaciens
GCF_056726145.1	Bacillus amyloliquefaciens	Complete Genome	current	3517983	1	SAMN52845224	soil	Turkey: Tekirdag		non_saline_candidate		Bacillus amyloliquefaciens
GCF_000385965.2	Bacillus atrophaeus UCMB-5137	Chromosome	current	4064321	7	SAMN02471930	rhizosphere	Ukraine		non_saline_candidate		Bacillus atrophaeus
GCF_001584335.1	Bacillus atrophaeus	Scaffold	current	4159686	24	SAMN04450411	soil	USA:Colorado		non_saline_candidate		Bacillus atrophaeus
GCF_002998055.1	Bacillus atrophaeus	Scaffold	current	4153751	14	SAMN08633950	grass roots	China: Tibet, Nyingchi		non_saline_candidate		Bacillus atrophaeus
GCF_002998075.1	Bacillus atrophaeus	Scaffold	current	4216459	15	SAMN08633986	soil	China: Tibet		non_saline_candidate		Bacillus atrophaeus
GCF_002998135.1	Bacillus atrophaeus	Scaffold	current	4123307	19	SAMN08634001	grass roots	China: Tibet, Lhasa		non_saline_candidate		Bacillus atrophaeus
GCF_016469025.1	Bacillus atrophaeus	Scaffold	current	4130740	92	SAMN16276680	soil	Antarctica		non_saline_candidate		Bacillus atrophaeus
GCF_018140555.1	Bacillus atrophaeus	Complete Genome	current	4144521	1	SAMN18793431	soil	China:Shandong		non_saline_candidate		Bacillus atrophaeus
GCF_019443725.1	Bacillus atrophaeus	Complete Genome	current	4148820	1	SAMN14466088	soil	Canada:Saskatoon		non_saline_candidate		Bacillus atrophaeus
GCF_026793355.1	Bacillus atrophaeus	Scaffold	current	4195380	42	SAMN25999697	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793375.1	Bacillus atrophaeus	Scaffold	current	4272497	127	SAMN25999696	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793395.1	Bacillus atrophaeus	Scaffold	current	4281072	112	SAMN25999693	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793415.1	Bacillus atrophaeus	Scaffold	current	4279494	112	SAMN25999695	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793455.1	Bacillus atrophaeus	Scaffold	current	4281129	128	SAMN25999692	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793475.1	Bacillus atrophaeus	Scaffold	current	4122328	16	SAMN25999691	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793515.1	Bacillus atrophaeus	Scaffold	current	4110444	20	SAMN25999689	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793605.1	Bacillus atrophaeus	Scaffold	current	4083353	18	SAMN25999685	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793855.1	Bacillus atrophaeus	Scaffold	current	4186000	21	SAMN25999672	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793875.1	Bacillus atrophaeus	Scaffold	current	4227121	47	SAMN25999671	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793895.1	Bacillus atrophaeus	Scaffold	current	4002963	20	SAMN25999670	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026793905.1	Bacillus atrophaeus	Scaffold	current	4123455	31	SAMN25999668	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794315.1	Bacillus atrophaeus	Scaffold	current	4189282	91	SAMN25999664	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794335.1	Bacillus atrophaeus	Scaffold	current	4198129	29	SAMN25999665	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794355.1	Bacillus atrophaeus	Scaffold	current	4140457	14	SAMN25999663	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794375.1	Bacillus atrophaeus	Scaffold	current	4038042	20	SAMN25999662	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794405.1	Bacillus atrophaeus	Scaffold	current	4094803	21	SAMN25999659	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794435.1	Bacillus atrophaeus	Scaffold	current	4162365	16	SAMN25999660	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794455.1	Bacillus atrophaeus	Scaffold	current	4164398	14	SAMN25999658	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794475.1	Bacillus atrophaeus	Scaffold	current	4125339	22	SAMN25999656	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794485.1	Bacillus atrophaeus	Scaffold	current	4074827	27	SAMN25999654	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794575.1	Bacillus atrophaeus	Scaffold	current	4119323	25	SAMN25999652	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_026794605.1	Bacillus atrophaeus	Scaffold	current	4148902	66	SAMN25999651	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_029541525.1	Bacillus atrophaeus	Complete Genome	current	4155911	1	SAMN33774111	Cotton rhizosphere soil	China:Xinjiang Hutubi County cotton planting farm		non_saline_candidate		Bacillus atrophaeus
GCF_032460565.1	Bacillus atrophaeus	Complete Genome	current	4288753	1	SAMN37144237	soil	China:qinghai	missing	non_saline_candidate		Bacillus atrophaeus
GCF_035806495.1	Bacillus atrophaeus	Scaffold	current	4140876	18	SAMN33940236	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035806615.1	Bacillus atrophaeus	Scaffold	current	4246831	63	SAMN33940231	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035806675.1	Bacillus atrophaeus	Scaffold	current	4139093	21	SAMN33940228	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035806755.1	Bacillus atrophaeus	Scaffold	current	4264905	25	SAMN33940225	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035806795.1	Bacillus atrophaeus	Scaffold	current	4294733	22	SAMN33940222	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035806895.1	Bacillus atrophaeus	Scaffold	current	4239286	33	SAMN33940217	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035806915.1	Bacillus atrophaeus	Scaffold	current	4115263	18	SAMN33940216	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035806935.1	Bacillus atrophaeus	Scaffold	current	4237758	36	SAMN33940215	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035806955.1	Bacillus atrophaeus	Scaffold	current	4239266	35	SAMN33940214	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035806975.1	Bacillus atrophaeus	Scaffold	current	4239705	30	SAMN33940213	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035807255.1	Bacillus atrophaeus	Scaffold	current	4239518	28	SAMN33940198	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035807275.1	Bacillus atrophaeus	Scaffold	current	4010796	14	SAMN33940199	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_035814155.1	Bacillus atrophaeus	Scaffold	current	4134396	49	SAMN33940342	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036209985.1	Bacillus atrophaeus	Scaffold	current	4052323	32	SAMN32927378	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus atrophaeus
GCF_036210025.1	Bacillus atrophaeus	Scaffold	current	4097990	24	SAMN32927376	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus atrophaeus
GCF_036210035.1	Bacillus atrophaeus	Scaffold	current	4081875	31	SAMN32927377	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus atrophaeus
GCF_036210065.1	Bacillus atrophaeus	Scaffold	current	4715748	41	SAMN32927374	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus atrophaeus
GCF_036210085.1	Bacillus atrophaeus	Scaffold	current	4082399	31	SAMN32927375	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus atrophaeus
GCF_036224925.1	Bacillus atrophaeus	Scaffold	current	4195511	24	SAMN33941027	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036224965.1	Bacillus atrophaeus	Scaffold	current	4039138	22	SAMN33941024	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036224985.1	Bacillus atrophaeus	Scaffold	current	4089126	14	SAMN33941026	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036225005.1	Bacillus atrophaeus	Scaffold	current	4131539	17	SAMN33941025	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036225025.1	Bacillus atrophaeus	Scaffold	current	4189007	20	SAMN33941023	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036225045.1	Bacillus atrophaeus	Scaffold	current	4239234	25	SAMN33941022	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036225085.1	Bacillus atrophaeus	Scaffold	current	4155290	24	SAMN33941019	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036225105.1	Bacillus atrophaeus	Scaffold	current	4145190	18	SAMN33941018	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036225145.1	Bacillus atrophaeus	Scaffold	current	4223234	18	SAMN33941017	soil	USA		non_saline_candidate		Bacillus atrophaeus
GCF_036225165.1	Bacillus atrophaeus	Scaffold	current	4369926	39	SAMN33941016	soil	USA		non_saline_candidate		Bacillus atrophaeus
